Ulf Samuelsson,66 95 98 00 
Uwe Krupp,3d b1 9a 00 
Vachslav Butsayev,e8 e1 99 00 
Vachslav Fetisov,64 82 98 00 
Vachslav Kozlov,e8 e1 99 00 
Valeri Kamensky,74 fe 8f 00 
Valeri Zelepukin,3d b1 9a 00 
Vincent Damphousse,57 d5 97 00 
Vincent Riendeau,4e c6 99 00 
Vladimir Konstantov,74 fe 8f 00 
Vladimir Malakhov,79 f0 99 00 
Vladimir Ruzicka,74 fe 8f 00 
Warren Rychel,e8 e1 99 00 
Wayne Gretzky,28 df 97 00 
Wayne Presley,74 fe 8f 00 
Wendel Clark,74 fe 8f 00 
Wendell Young,bc ed 97 00 
Yuri Khmylev,e8 e1 99 00 
Yves Racine,74 fe 8f 00 
Yvon Corriveau,74 fe 8f 00 
Zarley Zalapski,04 9f 99 00 
Zdeno Ciger,74 fe 8f 00 
